,img_size(KB),end_edge_time,edge_cloud_time,plate_size,seg_edge_cloud_time,cloud_all_processing_time,cloud_gpu_rec_time,cloud_gpu_utilization,edge_cpu_det_time,edge_cpu_percent,no_seg_time,after_seg_time
2953,815.62,0.073979072,0.362663163,42.88,0.019064133,0.016658306,0.004328728,0.02,0.006928444,96.9,0.453300541,0.104300376
2954,815.62,0.079468803,0.427384537,19.46,0.010196437,0.012188911,0.004359961,0.01,0.008473158,95.8,0.519042251,0.102498359
2955,815.62,0.068640901,0.494769773,14.97,0.009081442,0.024325609,0.005170345,0.01,0.008694887,96.8,0.587736283,0.091587575
2956,815.62,0.078444653,0.329256374,40.52,0.016358743,0.014680862,0.004316092,0.01,0.006254196,96.9,0.42238189,0.105373684
2957,815.62,0.090910717,0.405294338,18.53,0.009206471,0.009912491,0.004149437,0.01,0.005766392,95.7,0.506117547,0.110033017
2958,815.62,0.076437667,0.420312415,44.87,0.023123725,0.032284498,0.007233381,0.02,0.008516312,96.7,0.52903458,0.115311085
2959,815.62,0.093903729,0.329016995,24.17,0.009749965,0.009071827,0.00438714,0.01,0.006267548,95.9,0.431992551,0.114308381
2960,815.62,0.079544171,0.412401035,21.91,0.011080315,0.008667707,0.004249334,0.02,0.006797552,95.6,0.500612913,0.101671372
2961,815.62,0.080273383,0.331843595,40.13,0.016327166,0.015830755,0.004291296,0.01,0.008036375,97.9,0.427947733,0.10892822
2962,815.62,0.08031262,0.536137426,13.81,0.009080057,0.013741255,0.004506111,0.01,0.00999999,95.2,0.630191301,0.103898779
2963,815.62,0.086664467,0.508025187,30.48,0.018982819,0.010574102,0.00559783,0.01,0.017132521,96.2,0.605263756,0.128377636
2964,815.62,0.073874408,0.422921134,45.83,0.023762476,0.010461807,0.004157305,0.01,0.007115841,94.7,0.50725735,0.10891003
2965,815.62,0.069807941,0.441653013,24.83,0.013443131,0.01007247,0.004258871,0.01,0.009622097,97.8,0.521533424,0.09713204
2966,815.62,0.082395435,0.397916072,12.43,0.006063075,0.013255119,0.004225492,0.02,0.008357525,96.8,0.493566627,0.101041527
2967,815.62,0.085000188,0.453148451,22.07,0.012259749,0.010130882,0.00431633,0.01,0.008121014,93.8,0.548279521,0.109697281
2968,815.62,0.069315975,0.498906932,38.7,0.023671199,0.011766911,0.004256487,0.02,0.008410931,93.8,0.579989817,0.105654591
2969,815.62,0.06946587,0.493946655,19.88,0.01203995,0.011954069,0.004199028,0.01,0.007547379,94.8,0.575366594,0.093252226
2970,815.62,0.079838146,0.359801876,18.99,0.008378145,0.010865211,0.004331589,0.01,0.007849693,95.7,0.450505233,0.100397573
2971,815.62,0.071655377,0.400416952,20.49,0.010060284,0.011912346,0.004258394,0.02,0.01035738,96.9,0.483984675,0.096331435
2972,815.62,0.09214048,0.383910095,20.96,0.009866655,0.009768248,0.005441427,0.01,0.006924152,94.6,0.485818823,0.114372715
2973,815.62,0.080041407,0.40376599,47.51,0.023519176,0.014907598,0.004305363,0.02,0.008982182,96.8,0.498714995,0.116848127
2974,815.62,0.076388087,0.336529144,24.58,0.010141003,0.015690088,0.004299402,0.01,0.005987406,95.7,0.428607319,0.096815898
2975,815.62,0.068963019,0.377511132,27.02,0.012504152,0.015633583,0.005434036,0.02,0.006324053,94.6,0.462107735,0.093225261
2976,815.62,0.072791118,0.417135087,24.96,0.012765772,0.014214039,0.004224539,0.01,0.008014441,95.8,0.504140244,0.09779587
2977,815.62,0.081973897,0.350424257,33.1,0.014220881,0.008314848,0.004299879,0.02,0.004768848,93.5,0.440713002,0.105263505
2978,815.62,0.075421906,0.453509347,34.23,0.019030343,0.012471914,0.004287243,0.01,0.006596565,95.7,0.541403167,0.105336056
2979,815.62,0.089107077,0.344955652,18.21,0.007702027,0.010205746,0.00512886,0.02,0.009558916,95.1,0.444268474,0.11149688
2980,815.62,0.086950809,0.336525658,17.59,0.007257543,0.011435032,0.004551888,0.01,0.010450363,95.9,0.434911499,0.109210603
2981,815.62,0.075335128,0.364172938,18.8,0.008396209,0.012779951,0.004245043,0.02,0.008639574,95,0.452288017,0.096615954
2982,815.62,0.069719998,0.346001664,25.37,0.010762425,0.012586117,0.004329443,0.01,0.012010098,94.9,0.428307779,0.096821964
2983,815.62,0.082327156,0.354176462,24.96,0.010839021,0.009627104,0.004918337,0.01,0.006006718,97.7,0.446130722,0.104091232
2984,815.62,0.090612071,0.42607543,23.91,0.012488418,0.012486935,0.004503965,0.02,0.005629063,95.6,0.529174436,0.113233517
2985,815.62,0.101024329,0.496044271,20.62,0.012538897,0.009606123,0.004217625,0.01,0.00665307,95.7,0.606674723,0.124433921
2986,815.62,0.077749376,0.490853993,30.33,0.018253045,0.009860992,0.004213333,0.01,0.006196022,96.8,0.578464361,0.106411776
2987,815.62,0.071657835,0.406099534,22,0.010952337,0.018819571,0.004229307,0.02,0.009163857,96.7,0.49657694,0.096003336
2988,815.62,0.072683801,0.407409515,23.23,0.011604732,0.013135195,0.00427103,0.01,0.012246847,96,0.493228511,0.10080641
2989,815.62,0.085542144,0.34857872,26.99,0.011534149,0.014999866,0.004321337,0.01,0.011693239,94.9,0.44912073,0.113090869
2990,815.62,0.072502812,0.52302931,24.02,0.015400307,0.013736248,0.004514694,0.02,0.009799957,96.9,0.60926837,0.102217771
2991,815.62,0.069865505,0.348199836,23.22,0.009914857,0.010632992,0.00426507,0.01,0.008462429,96,0.428698332,0.092507861
2992,815.62,0.094538509,0.535600604,27,0.017730227,0.011294365,0.004242182,0.01,0.008543253,94.7,0.641433478,0.12505417
2993,815.62,0.083670352,0.404586528,42.39,0.021027164,0.012284517,0.004713297,0.02,0.011196136,95.9,0.500541397,0.120606949
2994,815.62,0.083837152,0.402881305,12.94,0.006390531,0.010316849,0.004815817,0.01,0.004462719,95.6,0.497035307,0.099506219
2995,815.62,0.096235325,0.41987636,11.44,0.005890938,0.012338638,0.004389048,0.01,0.006258488,96.7,0.528450323,0.112773798
2996,815.62,0.073112233,0.339202438,19.44,0.008085299,0.011643887,0.0042696,0.01,0.006138086,96.6,0.423958558,0.091605219
2997,815.62,0.079777469,0.427447079,16.18,0.008480873,0.011994839,0.004535198,0.02,0.008183479,95,0.519219386,0.10097702
2998,815.62,0.088154784,0.484719854,43.21,0.025681099,0.011088848,0.00430274,0.01,0.010297537,93.8,0.583963486,0.128436159
2999,815.62,0.085767244,0.494643337,15.26,0.009252057,0.011158705,0.005199909,0.02,0.006130934,95.8,0.591569286,0.106350144
